Epoch 0, Step 100, Loss: 1.24595993749, Error: 0.51, lr: 0.02
Epoch 0, Step 200, Loss: 1.04729195595, Error: 0.39, lr: 0.02
Epoch 0, Step 300, Loss: 0.741198426389, Error: 0.26, lr: 0.02
Epoch 0, Step 400, Loss: 0.64042576184, Error: 0.22, lr: 0.02
Epoch 0, Step 500, Loss: 0.428005786753, Error: 0.14, lr: 0.02
Epoch 1, Step 100, Loss: 0.513148030582, Error: 0.2, lr: 0.02
Epoch 1, Step 200, Loss: 0.393323829668, Error: 0.12, lr: 0.02
Epoch 1, Step 300, Loss: 0.453965825804, Error: 0.18, lr: 0.02
Epoch 1, Step 400, Loss: 0.404637831473, Error: 0.16, lr: 0.02
Epoch 1, Step 500, Loss: 0.383946810264, Error: 0.13, lr: 0.02
Epoch 2, Step 100, Loss: 0.314031758999, Error: 0.14, lr: 0.015
Epoch 2, Step 200, Loss: 0.266292219666, Error: 0.1, lr: 0.015
Epoch 2, Step 300, Loss: 0.247338979332, Error: 0.06, lr: 0.015
Epoch 2, Step 400, Loss: 0.441101727165, Error: 0.15, lr: 0.015
Epoch 2, Step 500, Loss: 0.401905935969, Error: 0.16, lr: 0.015
Epoch 3, Step 100, Loss: 0.470718583059, Error: 0.16, lr: 0.015
Epoch 3, Step 200, Loss: 0.365054481549, Error: 0.12, lr: 0.015
Epoch 3, Step 300, Loss: 0.458246668835, Error: 0.18, lr: 0.015
Epoch 3, Step 400, Loss: 0.344136221966, Error: 0.11, lr: 0.015
Epoch 3, Step 500, Loss: 0.385790582203, Error: 0.13, lr: 0.015
Epoch 4, Step 100, Loss: 0.324549526342, Error: 0.14, lr: 0.01125
Epoch 4, Step 200, Loss: 0.232427869752, Error: 0.08, lr: 0.01125
Epoch 4, Step 300, Loss: 0.380170403744, Error: 0.13, lr: 0.01125
Epoch 4, Step 400, Loss: 0.283778834658, Error: 0.09, lr: 0.01125
Epoch 4, Step 500, Loss: 0.454947583645, Error: 0.12, lr: 0.01125
Epoch 5, Step 100, Loss: 0.205053219842, Error: 0.07, lr: 0.01125
Epoch 5, Step 200, Loss: 0.281901226931, Error: 0.16, lr: 0.01125
Epoch 5, Step 300, Loss: 0.313618053121, Error: 0.16, lr: 0.01125
Epoch 5, Step 400, Loss: 0.361309191077, Error: 0.14, lr: 0.01125
Epoch 5, Step 500, Loss: 0.322626784037, Error: 0.13, lr: 0.01125
Epoch 6, Step 100, Loss: 0.297061836515, Error: 0.12, lr: 0.0084375
Epoch 6, Step 200, Loss: 0.272570640499, Error: 0.09, lr: 0.0084375
